 Length  Method   Size  Ratio   Date    Time    CRC-32  Attr  Name
    704  DeflatX    330  54%  07-14-95  08:40  b90f1dbc --w-  VERSION.C
   4100  DeflatX   1413  66%  04-25-95  19:33  4eb6b7d9 --w-  VOTEEDIT.C
    295  DeflatX    175  41%  12-26-94  15:35  3370a479 --w-  WELCOME.RIP
   8897  DeflatX   3117  65%  06-25-95  07:52  def83a0d --w-  WWIV.INI
    918  DeflatX    526  43%  12-03-94  16:01  09e0b257 --w-  WWIVEDIT.RIP
    535  DeflatX    303  44%  12-03-94  16:01  e0daa8ba --w-  WWIVMAIL.RIP
  27038  DeflatX   6789  75%  08-23-95  20:46  2629c811 --w-  XFER.C
  31277  DeflatX   7558  76%  07-15-95  07:39  1eb234a5 --w-  XFEROVL.C
  32074  DeflatX   7368  78%  08-19-95  11:58  2d59ad1d --w-  XFEROVL2.C
  23438  DeflatX   5437  77%  05-12-95  09:53  05b0fd23 --w-  XFERTMP.C
  39462  DeflatX  10230  75%  08-27-95  09:56  8f3eba9b --w-  XINIT.C
   8171  DeflatX   1984  76%  06-25-95  08:14  8cc73227 --w-  MAKEFILE.MAK
